Test,result,spec lower,spec upper,range,to lower,to upper,% from lim,% from lim up,closest_to_spec
gap creation,1.65,1.05,2.5,1.45,0.6,0.85,41.4,58.6,0.414
gap creation,1.552,1.05,2.5,1.45,0.502,0.948,34.6,65.4,0.346
gap creation,1.665,1.05,2.5,1.45,0.615,0.835,42.4,57.6,0.424
gap creation,2.251,1.05,2.5,1.45,1.201,0.249,82.8,17.2,0.172
gap creation,1.968,1.05,2.5,1.45,0.918,0.532,63.3,36.7,0.367
gap creation,1.283,1.05,2.5,1.45,0.233,1.217,16.1,83.9,0.161
gap creation,1.964,1.05,2.5,1.45,0.914,0.536,63,37,0.37
gap creation,1.785,1.05,2.5,1.45,0.735,0.715,50.7,49.3,0.493
gap creation,1.387,1.05,2.5,1.45,0.337,1.113,23.2,76.8,0.232
gap creation,1.43,1.05,2.5,1.45,0.38,1.07,26.2,73.8,0.262
gap creation,2.292,1.05,2.5,1.45,1.242,0.208,85.7,14.3,0.143
gap creation,1.621,1.05,2.5,1.45,0.571,0.879,39.4,60.6,0.394
gap creation,2.31,1.05,2.5,1.45,1.26,0.19,86.9,13.1,0.131
gap creation,1.212,1.05,2.5,1.45,0.162,1.288,11.2,88.8,0.112
gap creation,2.559,1.05,2.5,1.45,1.509,-0.059,104.1,-4.1,-0.041
gap creation,1.927,1.05,2.5,1.45,0.877,0.573,60.5,39.5,0.395
gap creation,1.305,1.05,2.5,1.45,0.255,1.195,17.6,82.4,0.176
gap creation,1.284,1.05,2.5,1.45,0.234,1.216,16.1,83.9,0.161
gap creation,2.026,1.05,2.5,1.45,0.976,0.474,67.3,32.7,0.327
gap creation,1.471,1.05,2.5,1.45,0.421,1.029,29,71,0.29
gap creation,1.237,1.05,2.5,1.45,0.187,1.263,12.9,87.1,0.129
gap creation,1.209,1.05,2.5,1.45,0.159,1.291,11,89,0.11
gap creation,1.619,1.05,2.5,1.45,0.569,0.881,39.2,60.8,0.392
gap creation,1.315,1.05,2.5,1.45,0.265,1.185,18.3,81.7,0.183
gap creation,1.83,1.05,2.5,1.45,0.78,0.67,53.8,46.2,0.462
gap creation,1.85,1.05,2.5,1.45,0.8,0.65,55.2,44.8,0.448
gap creation,1.886,1.05,2.5,1.45,0.836,0.614,57.7,42.3,0.423
gap creation,1.296,1.05,2.5,1.45,0.246,1.204,17,83,0.17
